invoice_number,vendor_id,vendor_name,amount,payment_date,status,bank_routing_used
INV-80099,V050,Ruby HR Solutions,2018.75,2026-04-19,PAID,BNK-CHASE-050
INV-80100,V001,Acme Logistics Ltd,5589.81,2026-03-18,PAID,BNK-CHASE-001
INV-80101,V002,Vortex Energy Inc,4484.87,2026-05-03,PAID,BNK-WELLS-002
INV-80102,V003,Nexus Software Corp,13241.66,2026-03-07,PAID,BNK-CITI-003
INV-80103,V004,Globex Global Corp,10710.84,2026-04-18,PAID,BNK-BOA-004
INV-80104,V005,Pinnacle Freight Co,14295.45,2026-03-28,PAID,BNK-CHASE-005
INV-80105,V006,Orion Cloud Services,4075.05,2026-05-07,PAID,BNK-USB-006
INV-80106,V007,Titan Manufacturing LLC,12134.5,2026-04-04,PAID,BNK-WELLS-007
INV-80107,V008,Aurora Consulting Group,8085.55,2026-03-21,PAID,BNK-CITI-008
INV-80108,V009,Catalyst Pharma,15657.99,2026-05-13,PAID,BNK-BOA-009
INV-80109,V010,Delta Mechanical Works,12381.87,2026-02-26,PAID,BNK-CHASE-010
INV-80110,V011,Ember Digital Agency,2492.79,2026-03-29,PAID,BNK-USB-011
INV-80111,V012,Fusion Media Group,13325.27,2026-05-06,PAID,BNK-WELLS-012
INV-80112,V013,Galaxy Telecom Ltd,5076.89,2026-04-25,PAID,BNK-CITI-013
INV-80113,V014,Horizon Staffing Inc,10024.11,2026-05-02,PAID,BNK-BOA-014
INV-80114,V015,Ignite Marketing LLC,8056.36,2026-04-14,PAID,BNK-CHASE-015
INV-80115,V016,Jade Construction Co,8757.2,2026-05-10,PAID,BNK-USB-016
INV-80116,V017,Keystone Legal Partners,8421.85,2026-03-10,PAID,BNK-WELLS-017
INV-80117,V018,Luminary Design Studio,2484.03,2026-02-25,PAID,BNK-CITI-018
INV-80118,V019,Meridian Supply Chain,17987.66,2026-05-18,PAID,BNK-BOA-019
INV-80119,V020,Nova Research Labs,17466.74,2026-04-19,PAID,BNK-CHASE-020
